variant,seed,arrivals,started,completed,waiting,in_service,wait_started,wait_censored,objective,max_queue,icu_saturation,fatigue_mean,weighted_queue_area,runtime_s,wait_p0,coverage_p0,wait_p1,coverage_p1,wait_p2,coverage_p2,util_beds,util_icu,util_ventilators,util_doctors,util_nurses
dt_025,1015,151,79,71,72,8,107.88478524610771,215.06599284322954,176.72617043691406,87,0.9307291666666667,0.8705505693458871,62371.0,0.8596620999742299,143.70248188212835,0.8333333333333334,87.39533814383294,1.0,328.3412908487648,0.0821917808219178,0.3415798611111111,0.9662760416666667,0.4354166666666667,0.9955078125,0.663671875
dt_025,1016,181,81,73,100,8,116.07830312190279,223.9853575662791,188.54431846505727,110,0.8609375,0.8631964740691236,78203.75,1.0625609999988228,135.495363945589,0.7142857142857143,112.96963268752339,0.8548387096774194,342.7963661282673,0.03571428571428571,0.34856770833333334,0.9305989583333333,0.6418402777777777,0.9881510416666667,0.6587673611111111
dt_025,1017,138,93,85,45,8,143.83379841594234,190.94172984219816,130.7561558167577,73,0.7447916666666666,0.8677520707505313,40592.0,0.719721200002823,68.33684647071304,1.0,72.47886898359792,1.0,300.91335980020995,0.375,0.3631510416666667,0.8959635416666667,0.38003472222222223,0.9927083333333333,0.6618055555555555
dt_025,1018,154,86,78,68,8,101.29872046073704,190.377101781224,160.89142978644148,78,0.9614583333333333,0.8635218589574528,57351.0,0.7889427000191063,117.76444906833143,0.8709677419354839,104.54981834080901,0.9787234042553191,273.0728196206868,0.17105263157894737,0.333203125,0.97734375,0.8019097222222222,0.9884765625,0.658984375
dt_025,1019,177,79,71,98,8,133.7334147848204,240.18968769091552,206.32217355590058,112,0.9458333333333333,0.8707458179633526,82307.75,1.1488391000311822,148.68427282833315,0.8333333333333334,139.26769028000746,0.7936507936507936,348.5616910571617,0.047619047619047616,0.3431423611111111,0.9619791666666667,0.346875,0.995703125,0.6638020833333333
dt_025,1020,171,84,76,87,8,109.7851970465029,214.77818027216256,185.15961808547002,99,0.9729166666666667,0.8710061472657605,77213.0,0.9819253999739885,151.10576089670235,0.725,99.25574600690379,1.0,323.05746326978107,0.0379746835443038,0.33567708333333335,0.9848958333333333,0.5583333333333333,0.9959635416666667,0.6639756944444445
dt_025,1021,172,84,76,88,8,115.155669115244,207.57103857827923,182.67976952955755,96,0.9447916666666667,0.8691838562755191,76538.25,1.0584145999746397,147.00419608286003,0.6923076923076923,105.3990673375393,0.9137931034482759,318.07878776873605,0.05333333333333334,0.3392795138888889,0.9704427083333333,0.5482638888888889,0.994140625,0.6627604166666666
dt_025,1022,171,87,79,84,8,124.0878121380799,219.61296792813735,170.23794837614383,100,0.5833333333333334,0.8650186833650797,62920.0,1.0779322999878787,39.23875162875446,1.0,157.45274911362102,0.8955223880597015,318.79549743007664,0.06097560975609756,0.3983072916666667,0.7850260416666667,0.6022569444444444,0.9899739583333333,0.6599826388888889
dt_025,1023,146,83,75,63,8,124.44638268965232,217.82573619898318,180.4370792744264,88,0.9385416666666667,0.8637170946769399,64378.75,0.7896954999887384,155.42783570402048,0.8387096774193549,88.95467138304743,1.0,339.0219455498602,0.13432835820895522,0.3388888888888889,0.9606770833333333,0.6519097222222222,0.988671875,0.6591145833333333
dt_025,1024,162,79,71,83,8,101.18833214085558,203.5467198813727,164.42127217407395,89,0.9421875,0.8600075225891862,60083.5,0.8172283999738283,109.61825056406784,0.8387096774193549,99.67760375219697,0.9803921568627451,306.1605632741779,0.0375,0.33576388888888886,0.9626302083333333,0.6184027777777777,0.9849609375,0.656640625
